TargetFolder,Reason
G:\My Drive\pcloud\Audio Books\Audio Books,Reason: Empty Shell
G:\My Drive\pcloud\Drive I\Graphic Novel,Reason: Empty Shell
G:\My Drive\pcloud\Drive I\Heard Books,Reason: Empty Shell
G:\My Drive\pcloud\Drive I\Humor,Reason: Empty Shell
G:\My Drive\pcloud\Drive I\Non Fiction,Reason: Empty Shell
G:\My Drive\pcloud\Drive I\System Volume Information,Reason: Empty Shell
G:\My Drive\pcloud\Drive I\$RECYCLE.BIN,Reason: Empty Shell
G:\My Drive\pcloud\Drive E\Books,Reason: Target Superior
G:\My Drive\pcloud\Audio Books\Audible\Converted\Nick Offerman,Reason: Empty Shell
G:\My Drive\pcloud\Audio Books\Audible\Converted\Haylock Jobson,Reason: Empty Shell
G:\My Drive\pcloud\Audio Books\Audible\Converted\Adrian J. Smith,Reason: Empty Shell
G:\My Drive\pcloud\Audio Books\Audible\Converted\Charlaine Harris,Reason: Empty Shell
G:\My Drive\pcloud\Audio Books\Audible\Converted\R.A. Salvatore\Legend of Drizzt\Betwixt Two Worlds,Reason: Exact/Inferior Duplicate
G:\My Drive\pcloud\Audio Books\Audible\Converted\Robin Hobb\Realms of the Elderlings\[01] The Farseer,Reason: Exact/Inferior Duplicate
G:\My Drive\pcloud\Audio Books\Audible\Converted\Robin Hobb\Realms of the Elderlings\[02] Royal Assassin,Reason: Exact/Inferior Duplicate
G:\My Drive\pcloud\Audio Books\Audible\Converted\Robin Hobb\Realms of the Elderlings\[03] Assassin's Quest,Reason: Exact/Inferior Duplicate
G:\My Drive\pcloud\Drive G\Audio Books\Stephen Fry,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Exported,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\33 Hero,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\02 Exile,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Dan Wells,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\03 Sojourn,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\32 Maestro,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\31 Archmage,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\01 Homeland,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\34 Timeless,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\XKarnation,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Eric Ugland,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Sean Oswald,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\07 The Legacy,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\James Luceno,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Charles Lamb,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\23 Gauntlgrym,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\24 Neverwinter,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\SourpatchHero,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\E.K. Johnston,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\R.A. Salvatore,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Haylock Jobson,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\20 The Orc King,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\25 Charon's Claw,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\13 Sea Of Swords,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\R. A. Salvatore,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Adrian J. Smith,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\Audible\Converted\Dennis E. Taylor,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\27 The Companions,Reason: Empty Shell
G:\My Drive\pcloud\Drive G\Audio Books\FORGOTTEN REALMS\19 The Two Swords,Reason: Empty Shell
