Relative Path,Author,Series,Title,ASIN,Narrator,Format,Total Size (MB),Track Count,Audiobook Status
Audiobooks/A. G. Mogan/Falling Star,A. G. Mogan,,Falling Star,,Virtual Voice,.mp3,308.10,130,VERIFIED_CANONICAL
Audiobooks/A. J. Pine/Robert Heinlein Audiobook collection/I Love You Like It's 1999,A. J. Pine,Robert Heinlein Audiobook collection,I Love You Like It's 1999,,"Helen Laser, J.F. Harding",.mp3,436.79,25,VERIFIED_CANONICAL
Audiobooks/A.A. Livingston/The Worst Warlock,A.A. Livingston,,The Worst Warlock,,Carey Mulligan,.mp3,421.05,43,VERIFIED_CANONICAL
Audiobooks/Aaron Dembski-Bowden/Night Lords/Soul Hunter,Aaron Dembski-Bowden,Night Lords,Soul Hunter,,Andrew Wincott,.mp3,322.81,16,VERIFIED_CANONICAL
"Audiobooks/Adrian J. Smith/The Extinction New Zealand Series/The Extinction New Zealand Series Box Set - The Rule of Three, The Fourth Phase, The Five Pillars",Adrian J. Smith,The Extinction New Zealand Series,"The Extinction New Zealand Series Box Set - The Rule of Three, The Fourth Phase, The Five Pillars",,,.mp3,1279.90,129,VERIFIED_CANONICAL
"Audiobooks/Adrian J. Smith/The Extinction New Zealand Series/The Extinction New Zealand Series Box Set The Rule of Three, The Fourth Phase, The Five Pillars - The Extinction New Zealand Series, Books 1-3",Adrian J. Smith,The Extinction New Zealand Series,"The Extinction New Zealand Series Box Set The Rule of Three, The Fourth Phase, The Five Pillars - The Extinction New Zealand Series, Books 1-3",,,.mp3,1039.93,130,VERIFIED_CANONICAL
Audiobooks/Alan Moore/V For Vendetta - Rare Audiobook/V for Vendetta,Alan Moore,V For Vendetta - Rare Audiobook,V for Vendetta,,Simon Vance,.mp3,226.27,10,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/Arbiter - Underdog, Book 7",Alexey Osadchuk,Underdog,"Arbiter - Underdog, Book 7",,,.mp3,506.95,35,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/Dungeons of the Crooked Mountains - Underdog Series, Book 1",Alexey Osadchuk,Underdog,"Dungeons of the Crooked Mountains - Underdog Series, Book 1",,,.mp3,558.58,28,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/Labyrinth of Fright - Underdog Series, Book 5",Alexey Osadchuk,Underdog,"Labyrinth of Fright - Underdog Series, Book 5",,,.mp3,508.95,34,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/Renegade - Underdog Series, Book 8",Alexey Osadchuk,Underdog,"Renegade - Underdog Series, Book 8",,,.mp3,762.03,50,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/Showdown - Underdog, Book 6",Alexey Osadchuk,Underdog,"Showdown - Underdog, Book 6",,,.mp3,481.14,35,VERIFIED_CANONICAL
Audiobooks/Alexey Osadchuk/Underdog/The Dark Continent,Alexey Osadchuk,Underdog,The Dark Continent,,Derek Shoales,.mp3,455.01,34,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/The Otherworld - Underdog Series, Book 4",Alexey Osadchuk,Underdog,"The Otherworld - Underdog Series, Book 4",,,.mp3,503.85,35,VERIFIED_CANONICAL
"Audiobooks/Alexey Osadchuk/Underdog/The Wastes - Underdog Series, Book 2",Alexey Osadchuk,Underdog,"The Wastes - Underdog Series, Book 2",,,.mp3,485.83,32,VERIFIED_CANONICAL
Audiobooks/Alisa Kwitne/Marvel - New Avengers - Breakout,Alisa Kwitne,,Marvel - New Avengers - Breakout,,Alisa Kwitney,.mp3,500.30,8,VERIFIED_CANONICAL
Audiobooks/Alisha Williams/Black Venom Crew/Little Bird,Alisha Williams,Black Venom Crew,Little Bird,,"Bridget Bordeaux, Jake Bordeaux",.mp3,576.41,8,VERIFIED_CANONICAL
Audiobooks/Alvin Schwartz/Scary Stories To Tell In The Dark - Audio Books/Scary Stories Disc 2,Alvin Schwartz,Scary Stories To Tell In The Dark - Audio Books,Scary Stories Disc 2,,Thanx360,.mp3,89.64,28,VERIFIED_CANONICAL
"Audiobooks/Andrew Rowe/Arcane Ascension/Sufficiently Advanced Magic - Arcane Ascension, Book 1",Andrew Rowe,Arcane Ascension,"Sufficiently Advanced Magic - Arcane Ascension, Book 1",,,.mp3,663.18,28,VERIFIED_CANONICAL
"Audiobooks/Andy Weir/James Moriarty, Consulting Criminal",Andy Weir,,"James Moriarty, Consulting Criminal",,Graeme Malcolm,.mp3,32.76,8,VERIFIED_CANONICAL
Audiobooks/Anita Sullivan/Torchwood/Torchwood,Anita Sullivan,Torchwood,Torchwood,,"John Barrowman, Eve Myles, Gareth David-Lloyd",.m4b,98.69,4,VERIFIED_CANONICAL
Audiobooks/Anne McCaffrey/Anne McCaffery (2)/Dragonsblood,Anne McCaffrey,Anne McCaffery (2),Dragonsblood,,,.mp3,530.53,63,VERIFIED_CANONICAL
Audiobooks/Anne McCaffrey/Collection/Nerilka's Story,Anne McCaffrey,Collection,Nerilka's Story,,,.mp3,75.39,17,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Harper Hall of Pern/Dragondrums - Harper Hall Trilogy, Volume 3",Anne McCaffrey,Harper Hall of Pern,"Dragondrums - Harper Hall Trilogy, Volume 3",,,.mp3,244.54,17,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Harper Hall of Pern/Dragonsinger - Harper Hall Trilogy, Volume 2",Anne McCaffrey,Harper Hall of Pern,"Dragonsinger - Harper Hall Trilogy, Volume 2",,,.mp3,274.59,19,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Harper Hall of Pern/Dragonsong - Harper Hall Trilogy, Volume 1",Anne McCaffrey,Harper Hall of Pern,"Dragonsong - Harper Hall Trilogy, Volume 1",,,.mp3,198.74,15,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Original Dragonriders of Pern/Dragonflight - Dragonriders of Pern, Book 1",Anne McCaffrey,Original Dragonriders of Pern,"Dragonflight - Dragonriders of Pern, Book 1",,,.mp3,257.09,25,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Original Dragonriders of Pern/Dragonquest - Dragonriders of Pern, Book 2",Anne McCaffrey,Original Dragonriders of Pern,"Dragonquest - Dragonriders of Pern, Book 2",,,.mp3,310.54,21,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Original Dragonriders of Pern/The White Dragon - Dragonriders of Pern, Book 3",Anne McCaffrey,Original Dragonriders of Pern,"The White Dragon - Dragonriders of Pern, Book 3",,,.mp3,404.38,26,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/All the Weyrs of Pern - Dragonriders of Pern, Book 11",Anne McCaffrey,Pern Novels,"All the Weyrs of Pern - Dragonriders of Pern, Book 11",,,.mp3,517.66,19,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/Dragon's Fire - Dragonriders of Pern, Book 18",Anne McCaffrey,Pern Novels,"Dragon's Fire - Dragonriders of Pern, Book 18",,,.mp3,402.41,55,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/Dragon's Kin - Dragonriders of Pern, Book 16",Anne McCaffrey,Pern Novels,"Dragon's Kin - Dragonriders of Pern, Book 16",,,.mp3,294.87,40,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/Dragonsdawn - Dragonriders of Pern, Book 9",Anne McCaffrey,Pern Novels,"Dragonsdawn - Dragonriders of Pern, Book 9",,,.mp3,390.36,25,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/Dragonseye - Dragonriders of Pern, Book 13",Anne McCaffrey,Pern Novels,"Dragonseye - Dragonriders of Pern, Book 13",,,.mp3,425.92,45,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/Moreta - Dragonlady of Pern Dragonriders of Pern, Book 7",Anne McCaffrey,Pern Novels,"Moreta - Dragonlady of Pern Dragonriders of Pern, Book 7",,,.mp3,370.05,25,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/The Dolphins of Pern - Dragonriders of Pern, Book 12",Anne McCaffrey,Pern Novels,"The Dolphins of Pern - Dragonriders of Pern, Book 12",,,.mp3,375.67,29,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/The Masterharper of Pern - Dragonriders of Pern, Book 14",Anne McCaffrey,Pern Novels,"The Masterharper of Pern - Dragonriders of Pern, Book 14",,,.mp3,532.54,65,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/The Renegades of Pern - Dragonriders of Pern, Book 10",Anne McCaffrey,Pern Novels,"The Renegades of Pern - Dragonriders of Pern, Book 10",,,.mp3,335.36,21,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels/The Skies of Pern - Dragonriders of Pern, Book 15",Anne McCaffrey,Pern Novels,"The Skies of Pern - Dragonriders of Pern, Book 15",,,.mp3,584.28,45,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels , Pern Novels/A Gift of Dragons",Anne McCaffrey,"Pern Novels , Pern Novels",A Gift of Dragons,,Lee Meriwether,.mp3,208.55,64,VERIFIED_CANONICAL
"Audiobooks/Anne McCaffrey/Pern Novels , Pern Novels/The Chronicles of Pern - First Fall",Anne McCaffrey,"Pern Novels , Pern Novels",The Chronicles of Pern - First Fall,,,.mp3,345.18,29,VERIFIED_CANONICAL
