Disk Folder Name,Disk Relative Path,Size (MB),Reconciliation Status,Match Tier,Canonical Title,Canonical Author,Canonical ASIN,Canonical Series
Anne Rice,Anne Rice\Anne Rice\Anne Rice\Anne Rice,415.17,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,"Lestat, el vampiro (Crónicas Vampíricas 2)","Anne Rice, Hernán Sabaté Vargas - translator",B0BR64KJX6,Crónicas Vampíricas #2
Memnoch the Devil [B00IZJYV6M],Anne Rice\The Vampire Chronicles #5\Memnoch the Devil [B00IZJYV6M],605.5,VERIFIED_CANONICAL,Tier 1: ASIN Match,Memnoch the Devil,Anne Rice,B00IZJYV6M,The Vampire Chronicles #5
Interview with the Vampire [B0051JGU1S],Anne Rice\The Vampire Chronicles #1\Interview with the Vampire [B0051JGU1S],617.59,VERIFIED_CANONICAL,Tier 1: ASIN Match,Interview with the Vampire,Anne Rice,B0051JGU1S,The Vampire Chronicles #1
Merrick [B002UUKMKQ],"Anne Rice\The Vampire Chronicles #7, Lives of the Mayfair Witches #4\Merrick [B002UUKMKQ]",482.69,VERIFIED_CANONICAL,Tier 1: ASIN Match,Merrick,Anne Rice,B002UUKMKQ,"The Vampire Chronicles #7, Lives of the Mayfair Witches #4"
The Vampire Armand - The Vampire Chronicles [B002UZMU7O],Anne Rice\The Vampire Chronicles #6\The Vampire Armand - The Vampire Chronicles [B002UZMU7O],633.59,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Vampire Armand,Anne Rice,B002UZMU7O,The Vampire Chronicles #6
"The Tale of the Body Thief - The Vampire Chronicles, Book 4 [B011DDW4S8]","Anne Rice\The Vampire Chronicles #4\The Tale of the Body Thief - The Vampire Chronicles, Book 4 [B011DDW4S8]",797.52,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Tale of the Body Thief,Anne Rice,B011DDW4S8,The Vampire Chronicles #4
Blood and Gold [B002UZZ6ZW],Anne Rice\The Vampire Chronicles #8\Blood and Gold [B002UZZ6ZW],776.02,VERIFIED_CANONICAL,Tier 1: ASIN Match,Blood and Gold,Anne Rice,B002UZZ6ZW,The Vampire Chronicles #8
Blood Canticle - The Vampire Chronicles [B002UUKU2Q],"Anne Rice\The Vampire Chronicles #10, Lives of the Mayfair Witches #6\Blood Canticle - The Vampire Chronicles [B002UUKU2Q]",481.41,VERIFIED_CANONICAL,Tier 1: ASIN Match,Blood Canticle,Anne Rice,B002UUKU2Q,"The Vampire Chronicles #10, Lives of the Mayfair Witches #6"
"The Queen of the Damned - The Vampire Chronicles, Book 3 [B0052FRV1Y]","Anne Rice\The Vampire Chronicles #3\The Queen of the Damned - The Vampire Chronicles, Book 3 [B0052FRV1Y]",919.11,VERIFIED_CANONICAL,Tier 1: ASIN Match,The Queen of the Damned,Anne Rice,B0052FRV1Y,The Vampire Chronicles #3
"Sufficiently Advanced Magic - Arcane Ascension, Book 1 [B072YT93QD]","Andrew Rowe\Arcane Ascension #1\Sufficiently Advanced Magic - Arcane Ascension, Book 1 [B072YT93QD]",663.18,VERIFIED_CANONICAL,Tier 1: ASIN Match,Sufficiently Advanced Magic,Andrew Rowe,B072YT93QD,Arcane Ascension #1
"Black Gun, Silver Star The Life and Legend of Frontier Marshal Bass Reeves - Race and Ethnicity in the American West Series #1 [B014V5RKPM]","Art T. Burton\Black Gun, Silver Star\Black Gun, Silver Star The Life and Legend of Frontier Marshal Bass Reeves - Race and Ethnicity in the American West Series #1 [B014V5RKPM]",377.82,VERIFIED_CANONICAL,Tier 1: ASIN Match,"Black Gun, Silver Star: The Life and Legend of Frontier Marshal Bass Reeves",Art T. Burton,B014V5RKPM,"Black Gun, Silver Star"
Mostly Harmless [B002V5H3AW],Douglas Adams\Hitchhiker's Guide to the Galaxy #5\Mostly Harmless [B002V5H3AW],314.9,VERIFIED_CANONICAL,Tier 1: ASIN Match,Mostly Harmless,Douglas Adams,B002V5H3AW,Hitchhiker's Guide to the Galaxy #5
Douglas Adams at the BBC Disc 3,Douglas Adams\Douglas Adams at the BBC\Douglas Adams at the BBC Disc 3,139.82,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Douglas Adams at the BBC Disc 3,Douglas Adams,,Douglas Adams at the BBC
Douglas Adams at the BBC Disc 3,Douglas Adams\Douglas Adams at the BBC\Douglas Adams at the BBC [B002V5BPX8]\Douglas Adams at the BBC Disc 3,139.82,VERIFIED_CANONICAL,Tier 2: Leaf Folder Match,Douglas Adams at the BBC Disc 3,Douglas Adams,,Douglas Adams at the BBC
