highest_common_parent,file_count,total_size_bytes,migration_decision
Beastborne,114,2591878891,Migrate
"Generations, Legend of Drizzt",76,3264594283,Migrate
Legend of Drizzt,26,1408269392,Migrate
"Legend of Drizzt, Forgotten Realms - Sellswords",30,887077451,Migrate
Your First Listen,2,9922945,Migrate
Alien_ Out of the Shadows,22,625077414,Migrate
Defiance of the Fall,19,19796004338,Migrate
Dungeon Crawler Carl,201,13169166982,Migrate
All the Skills,61,1611107602,Migrate
The Wandering Inn,70,4527461531,Migrate
Welcome to the Multiverse,64,1440323241,Migrate
Noobtown,31,1063641249,Migrate
The Legend of Randidly Ghosthound,88,2699949933,Migrate
Alien,4,262109197,Migrate
"Alien, Alien_ The Audible Original Dramas",23,738246410,Migrate
Chronicles of Ynis Aielle,2,642256428,Migrate
The DemonWars Saga,4,79947299,Migrate
Spearwielder's Tales,2,685406038,Migrate
Crimson Shadow,1,270492324,Migrate
Heretical Fishing,280,8140599122,Migrate
I'm Not the Hero,72,3840513948,Migrate
Beware of Chicken,5,4884953757,Migrate
Unorthodox Farming,56,2853194978,Migrate
"Star Wars_ The High Republic, Star Wars_ The High Republic_ Audible Originals, Star Wars Adventures_ Audible Originals",1,257461492,Migrate
"Star Wars Adventures_ Audible Originals, Star Wars",17,719143348,Migrate
Dungeons & Dragons_ Honor Among Thieves,70,1505256563,Migrate
Steamborn Series,128,866176124,Migrate
Reborn as a Demonic Tree,260,5633273558,Migrate
The Extinction New Zealand Series,126,0,Migrate
The Zero Chronicles,91,1464594026,Migrate
He Who Fights with Monsters,988,22879379172,Migrate
Assassins,52,1597401169,Migrate
Dragonfall,104,2201927306,Migrate
The Licanius Trilogy,166,3922327656,Migrate
Super Powereds,19,1309734123,Migrate
Bobiverse,3,1806037062,Migrate
The Primal Hunter,75,1187103520,Migrate
Grim Reaper,36,619608953,Migrate
Chrysalis,435,1751414941,Migrate
The Grand Game,92,1879355771,Migrate
The Last Folk Hero,1,1258088548,Migrate
Dragonblood Assassin,307,9980542065,Migrate
Impact Winter,31,1217710374,Migrate
The Freedom's Fire Series,375,2358580140,Migrate
Wasteland Warlords,101,2360827248,Migrate
Illusionist,1,631752696,Migrate
Good Intentions,24,2536613118,Migrate
Roadkill,1,513960118,Migrate
A Night in the Lonesome October,1,373920109,Migrate
Quantum Earth,90,1259673600,Migrate
Stories of Jedi and Sith,1,344520570,Migrate
The Chronicles of Lumineia,108,2053545533,Migrate
The Kingfall Histories,259,13498064390,Migrate
"Generations, Legend of Drizzt, Legend of Drizzt_ Homecoming",1,789667227,Migrate
"Legend of Drizzt, The Way of the Drow",118,7238906315,Migrate
The Cycle of Arawn,1,1885152138,Migrate
Gods of the Ragnarok Era Complete Collection,1,2651004404,Migrate
The Mammoth Book of the Adventures of Moriarty,1,589803145,Migrate
The Wakening,70,2601955824,Migrate
Conan O’Brien Needs A Friend,1,67719102,Migrate
1% Lifesteal,1,949836491,Migrate
Backyard Starship,49,1074110377,Migrate
The Bad Guys,229,3307558540,Migrate
Dead Tired,92,2234669703,Migrate
The Grim Guys,48,1199318417,Migrate
The Good Guys,254,3931039278,Migrate
Eternal Online,112,2619987290,Migrate
Jake's Magical Market,51,2405607786,Migrate
Wizard's Tower,172,2287997241,Migrate
Eternally Electric,1,551277339,Migrate
Overpowered Wizard,103,2015686860,Migrate
Black Ocean_ Galaxy Outlaws,157,4976896843,Migrate
Black Ocean_ Mirth and Mayhem,155,5062692625,Migrate
Black Ocean_ Mercy for Hire Series,1,2652609952,Migrate
Conscript,62,2124300413,Migrate
Mimic & Me,1,970117558,Migrate
The Perfect Run,1,1027854978,Migrate
The Dwarves,2,1290338650,Migrate
Sherlock Holmes,132,12455396008,Migrate
24∕7 Demon Mart,72,1132873418,Migrate
A Change of Plans [B088X5X8XJ],3,43035248,Migrate
A Neet's Guide to Becoming a God,65,623422143,Migrate
A Night in the Lonesome October [B09WJP61YZ],33,382008766,Migrate
Arcane Ascension,24,644940963,Migrate
Audible Original Stories,4,64204304,Migrate
Bass Reeves [B0CQTYN1PL],3,584266042,Migrate
Bass Reeves [B0CR8M3NLZ],3,545336315,Migrate
Bass Reeves [B0CS744STD],3,296330006,Migrate
Battle Trucker,50,850077730,Migrate
Dungeon Life,91,910111177,Migrate
Escape from Virtual Island [B0847SB7C1],13,268599454,Migrate
Eternally Electric [B0DWPCDNSQ],20,555942757,Migrate
"Generations, Legend of Drizzt_ Homecoming, Legend of Drizzt",43,802814566,Migrate
Gods of the Ragnarok Era Complete Collection [B08W293VGM],501,2929217585,Migrate
Hat Trick,29,727728582,Migrate
Moriarty,13,607240686,Migrate
"James Moriarty, Consulting Criminal [B071CGXYVJ]",5,35613427,Migrate
Roadkill [B0B6QBNK4J],45,534056777,Migrate
Roseland,227,1095575366,Migrate
Star Wars [B002V0KP4I],6,182164594,Migrate
"Star Wars_ The High Republic_ Audible Originals, Star Wars Adventures_ Audible Originals, Star Wars_ The High Republic",17,267038804,Migrate
Stories of Jedi and Sith [B0B4BKLFQW],12,349604579,Migrate
Terminate the Other World!,57,1004330416,Migrate
The Cycle of Arawn [B00W8DAB9M],90,1909364058,Migrate
The Last Folk Hero [B09SGGN8QT],36,1258012839,Migrate
The Mammoth Book of the Adventures of Moriarty [B015YO6JRE],40,585495727,Migrate
The Preternatural Chronicles,66,441570767,Migrate
The Singularity Trap [B07BHVWFSM],90,692798194,Migrate
The Storyteller [B0C15MDNX6],37,684779121,Migrate
The Worst Warlock [B08PDMWRKG],40,453116913,Migrate
Where the Deer and the Antelope Play [0451485041],27,679785652,Migrate
renamed\Disney Lucasfilm Press; Bryan Q. Miller,15,228534016,Migrate
