highest_common_parent,file_count,total_size_bytes,migration_decision
Audio Books,176,26229642795,Review
Drive E\Books\Books,70,748105650,Migrate
Drive E\Books\All the Skills [B0BLTLDSYM],61,723842110,Migrate
Drive E\Books\Back to One [B09PSVRV4J],1,361279127,Migrate
Drive E\Books\Promise of the Witch-King [B00IIW28OI],1,375264574,Migrate
Drive E\Books\Raze [1977374573],1,542078163,Migrate
Drive E\Books\Ranger Boxed Set [1705290949],1,1342815711,Migrate
Drive E\Books\Reality Benders Series Boxed Set [B09GDHV74D],1,1494243971,Migrate
Drive E\Books\Reborn as a Demonic Tree 2 [B0CQPVXD1X],1,1179967859,Migrate
Drive E\Books\Reborn as a Demonic Tree [B0CJKXYH8Y],1,1080125538,Migrate
Drive E\Books\Red Claw [B0C5BFG6PJ],1,1249069651,Migrate
Drive E\Books\Regicide [B07FKYC3LD],1,385349659,Migrate
Drive E\Books\Relentless [0062688693],1,805762782,Migrate
Drive E\Books\Revisionist History [B08JD7QC4M],7,207509352,Migrate
Drive E\Books\Ritualist [B07BTHWMFF],1,343440732,Migrate
Drive E\Books\Roadkill [B0B6QBNK4J],1,502858966,Migrate
Drive E\Books\Royal Assassin [B003NTPCVM],1,748459953,Migrate
Drive E\Books\Savage Dominion [1705231985],1,932826055,Migrate
Drive E\Books\Scamps & Scoundrels [1541435362],1,493826778,Migrate
Drive E\Books\Seas the Day [1705236561],1,433000221,Migrate
Drive E\Books\Second Story Man [154143644X],1,382944388,Migrate
Drive E\Books\Secondhand Souls [B00XQS0AS0],1,323199884,Migrate
Drive E\Books\Sherlock Holmes [B06WLMWF2S],1,3518424298,Migrate
Drive E\Books\Siege Tactics [1977378889],2,834868452,Migrate
Drive E\Books\Silver Spines [B0CBCWKPL1],1,1047972575,Migrate
Drive E\Books\Skull and Thrones [1541436458],1,456195355,Migrate
Drive E\Books\SmartLess [B08JJN6G5G],2,125996925,Migrate
Drive E\Books\Split the Party [B018UG3DJK],1,343339969,Migrate
Drive E\Books\Star Wars [B002V0KP4I],1,191979914,Migrate
Drive E\Books\Star Wars [B0D9C77HBL],1,197432127,Migrate
Drive E\Books\Star Wars [B0DDZQ52XP],1,238525671,Migrate
Drive E\Books\Stargazer [B08VYFG11M],1,206574736,Migrate
Drive E\Books\Starlight Enclave [0063029804],1,825481102,Migrate
Drive E\Books\Steamborn [B0764H1QWG],1,671058838,Migrate
Drive E\Books\Stories of Jedi and Sith [B0B4BKLFQW],1,286030591,Migrate
Drive E\Books\Street Cultivation [1541438299],1,724697859,Migrate
Drive E\Books\Stuff To Blow Your Mind [B08K57RMBJ],9,387263308,Migrate
Drive E\Books\Stuff You Should Know [B08JJMNHTS],5,234361204,Migrate
Drive E\Books\Super Powereds [1648816606],1,293601532,Migrate
Drive E\Books\Super Powereds [1648817696],1,258673432,Migrate
Drive E\Books\Super Powereds [B01FEAXNKO],1,760855581,Migrate
Drive E\Books\Super Powereds [B01I5OS9MI],1,937785538,Migrate
Drive E\Books\Super Powereds [B01KP2IAP4],1,1202117079,Migrate
Drive E\Books\Super Powereds [B07D84P11M],1,1467654095,Migrate
Drive E\Books\Super Powereds [B09JQPMHLY],1,804547991,Migrate
Drive E\Books\Super Powereds [B09ZQ2SCNW],1,364515116,Migrate
Drive E\Books\Survival Quest [B01CRDD6ZS],1,330699074,Migrate
Drive E\Books\The 13th Paladin Boxed Set [B09R52QXV8],1,239263695,Migrate
Drive E\Books\The Bare Hunt [1494548682],1,71081935,Migrate
Drive E\Books\The Battle for Hjalgar [B0B3KXZP1B],1,34856960,Migrate
Drive E\Books\The Centennial Tournament [B0B3C1D8WV],1,6135710,Migrate
Drive E\Books\The Chronicles of Lumineia Omnibus [B00XAK8OGE],1,161112015,Migrate
Drive E\Books\The Cycle of Arawn [B00W8DAB9M],1,161464320,Migrate
Drive E\Books\The Dao of Drizzt [B09SGN4M9L],2,150241280,Migrate
Drive E\Books\The Dark Continent [1515948048],1,166969295,Migrate
Drive E\Books\The Demon Awakens (Dramatized Adaptation) [B0B7XNY87P],1,177700815,Migrate
Drive G,191,4229974417,Review
Drive I,380,1399877026,Review
